time,u,y_lineal,ydot_lineal,i_lineal,y,ydot,i,e
0.60050328,1.0195416,-0.0040153558,0.0077619246,0.52398728,-0.0040175225,0.0059800506,0.50834019,-2.1666681e-06
0.60590141,1.0191243,-0.0039831271,0.0077416725,0.5238986,-0.0039852984,0.005958822,0.50824837,-2.1712756e-06
0.61043136,1.0172617,-0.0039561576,0.0077262881,0.52384043,-0.0039583498,0.0059389781,0.50817537,-2.1921803e-06
0.6152183,1.0167298,-0.0039277759,0.0077048504,0.52376645,-0.003929974,0.0059162866,0.50809729,-2.1980797e-06
0.62112259,1.0169311,-0.0038929353,0.0076740165,0.52366886,-0.003895131,0.0058859723,0.50800158,-2.1956828e-06
0.62783856,1.0184244,-0.0038535466,0.0076330384,0.52354819,-0.0038557253,0.0058486328,0.50789326,-2.1786894e-06
0.6326583,1.0172562,-0.0038254136,0.0076071346,0.52348511,-0.0038276053,0.0058199516,0.50782099,-2.1917182e-06
0.63747804,1.0167145,-0.0037974289,0.0075784061,0.52341729,-0.0037996265,0.0057899569,0.50774904,-2.1976727e-06
0.64333092,1.0168897,-0.0037636538,0.0075398902,0.52332861,-0.0037658493,0.0057519126,0.50766208,-2.1954961e-06
0.64995795,1.0182279,-0.0037256997,0.0074915931,0.5232194,-0.0037278799,0.0057068996,0.50756402,-2.1801574e-06
0.65598871,1.0196539,-0.0036914279,0.0074454917,0.52312004,-0.0036935917,0.0056642941,0.50747651,-2.1638229e-06
0.66087274,1.0178791,-0.0036638309,0.0074140048,0.5230695,-0.0036660145,0.005628591,0.50741196,-2.1835837e-06
0.66541029,1.0167388,-0.0036383551,0.0073828027,0.52301868,-0.0036405513,0.0055946998,0.50735224,-2.1961932e-06
0.6707009,1.0165831,-0.0036088606,0.007342835,0.52294926,-0.0036110582,0.005554427,0.50728192,-2.197646e-06
0.67711425,1.0172323,-0.0035734054,0.0072913542,0.52285873,-0.0035755953,0.0055046004,0.50719708,-2.1899316e-06
0.68364135,1.0192702,-0.0035376688,0.007234687,0.52275512,-0.0035398353,0.0054529396,0.50711038,-2.1665246e-06
0.68903952,1.018826,-0.0035083463,0.0071921528,0.52269161,-0.0035105174,0.0054094257,0.50704371,-2.1711332e-06
0.69356993,1.0169403,-0.0034839025,0.0071596084,0.52265401,-0.0034860945,0.0053724219,0.50699128,-2.1920273e-06
0.69835725,1.0163816,-0.0034582713,0.0071215024,0.52260123,-0.0034604692,0.0053330595,0.5069344,-2.1979285e-06
0.7042615,1.0165482,-0.0034269304,0.0070720838,0.52252908,-0.0034291259,0.005284157,0.5068641,-2.1955357e-06
0.71097696,1.0179998,-0.0033916502,0.0070124684,0.52243636,-0.0033938287,0.0052281749,0.5067837,-2.1785536e-06
0.71579692,1.0168016,-0.0033665355,0.006974727,0.52239268,-0.0033687271,0.0051876543,0.50673082,-2.1915811e-06
0.72061688,1.0162291,-0.0033416232,0.0069353813,0.52234375,-0.0033438208,0.0051470398,0.50667774,-2.1975381e-06
0.72646967,1.0163662,-0.0033116455,0.0068855281,0.52227732,-0.0033138409,0.0050976552,0.506613,-2.1953655e-06
0.73309636,1.0176604,-0.0032780662,0.006826329,0.5221924,-0.0032802462,0.0050417358,0.50653921,-2.1800361e-06
0.73912699,1.0190459,-0.0032478321,0.0067719714,0.52211434,-0.0032499958,0.0049908694,0.50647297,-2.1637138e-06
0.74401122,1.0172398,-0.0032235372,0.0067348804,0.52208049,-0.0032257207,0.0049495621,0.50642509,-2.1834671e-06
0.74854905,1.01607,-0.0032011514,0.0066992947,0.52204473,-0.0032033475,0.0049112859,0.50638041,-2.196076e-06
0.75383974,1.0158798,-0.0031752836,0.0066551624,0.52199237,-0.0031774812,0.0048668463,0.50632713,-2.1975314e-06
0.76025288,1.0164876,-0.0031442519,0.0065999121,0.52192179,-0.0031464417,0.0048132473,0.50626221,-2.1898213e-06
0.76677973,1.0184833,-0.0031130379,0.0065407427,0.5218377,-0.0031152043,0.0047590797,0.506195,-2.1664265e-06
0.77217794,1.0180056,-0.0030874643,0.006497074,0.52178973,-0.0030896353,0.0047144298,0.50614384,-2.171036e-06
0.77670857,1.0160928,-0.0030661691,0.0064641854,0.52176478,-0.003068361,0.0046770815,0.50610403,-2.1919252e-06
0.78149608,1.0155055,-0.0030438655,0.0064262844,0.52172498,-0.0030460634,0.0046379225,0.50606011,-2.1978276e-06
0.78740031,1.0156376,-0.0030166264,0.0063778689,0.52166831,-0.0030188218,0.0045900212,0.50600527,-2.1954371e-06
0.79411554,1.0170509,-0.0029860023,0.0063203225,0.52159252,-0.0029881808,0.0045361052,0.50594176,-2.1784608e-06
0.7989356,1.0158264,-0.0029642181,0.0062846206,0.52156055,-0.0029664096,0.0044976231,0.50590057,-2.191488e-06
0.80375567,1.0152282,-0.0029426255,0.0062477441,0.52152297,-0.002944823,0.0044594764,0.50585882,-2.1974465e-06
0.80960842,1.015335,-0.0029166621,0.0062014234,0.52146988,-0.0029188574,0.0044136225,0.50580739,-2.1952762e-06
0.81623496,1.0165963,-0.0028876012,0.006146868,0.52139948,-0.0028897812,0.0043623444,0.50574808,-2.1799515e-06
0.82226553,1.0179528,-0.0028614505,0.0060972713,0.52133411,-0.0028636141,0.0043162363,0.50569449,-2.1636354e-06
0.82714986,1.016125,-0.0028404401,0.0060643709,0.52131018,-0.0028426235,0.0042791192,0.50565652,-2.1833854e-06
0.83168783,1.0149355,-0.0028210868,0.0060329251,0.52128338,-0.0028232828,0.0042449822,0.50562077,-2.1959942e-06
0.83697856,1.0147232,-0.0027987306,0.0059938939,0.52124114,-0.0028009281,0.0042056423,0.50557758,-2.1974512e-06
0.84339162,1.0153055,-0.0027719189,0.0059451822,0.5211824,-0.0027741087,0.0041585803,0.50552447,-2.1897434e-06
0.84991835,1.0172765,-0.0027449556,0.0058930188,0.52110988,-0.002747122,0.0041114164,0.5054688,-2.1663548e-06
0.85531658,1.0167799,-0.002722862,0.0058553763,0.52107113,-0.0027250329,0.0040727915,0.50542684,-2.170965e-06
0.85984732,1.0148522,-0.0027044616,0.0058276869,0.52105368,-0.0027066534,0.0040406422,0.50539452,-2.1918521e-06
0.86463492,1.0142497,-0.0026851913,0.0057954058,0.5210216,-0.002687389,0.0040071021,0.50535829,-2.1977553e-06
0.87053915,1.0143642,-0.0026616558,0.0057540757,0.52097415,-0.0026638511,0.003966285,0.50531263,-2.1953662e-06
0.87725428,1.0157589,-0.0026351931,0.0057047622,0.52090845,-0.0026373715,0.0039206002,0.50525919,-2.1783931e-06
0.8820744,1.0145222,-0.002616361,0.0056750618,0.52088348,-0.0026185524,0.0038881189,0.50522497,-2.1914203e-06
0.88689452,1.0139124,-0.0025976915,0.0056442502,0.52085272,-0.0025998889,0.0038560363,0.50519001,-2.1973797e-06
0.89274726,1.0140063,-0.0025752382,0.0056053618,0.52080764,-0.0025774334,0.0038176136,0.50514658,-2.1952108e-06
0.89937373,1.0152541,-0.002550099,0.005559287,0.52074601,-0.0025522789,0.0037748146,0.505096,-2.1798887e-06
0.90540428,1.0165995,-0.002527468,0.0055174461,0.52068835,-0.0025296316,0.003736461,0.5050501,-2.1635759e-06
0.91028866,1.0147639,-0.002509274,0.0054908393,0.52067048,-0.0025114573,0.0037056373,0.50501816,-2.1833245e-06
0.91482669,1.0135677,-0.0024925095,0.0054652429,0.52064916,-0.0024947055,0.003677349,0.50498788,-2.1959335e-06
0.92011746,1.0133482,-0.0024731385,0.0054330248,0.52061315,-0.0024753359,0.0036448214,0.50495091,-2.1973915e-06
0.92653048,1.0139229,-0.002449897,0.0053925478,0.52056175,-0.0024520867,0.0036059931,0.5049051,-2.1896851e-06
0.93305716,1.0158871,-0.0024265133,0.0053487228,0.52049645,-0.0024286796,0.0035671661,0.50485662,-2.1662998e-06
0.9384554,1.0153859,-0.0024073391,0.0053179323,0.52046351,-0.00240951,0.0035353926,0.50482045,-2.1709106e-06
0.9429862,1.0134552,-0.0023913603,0.0052959566,0.52045081,-0.0023935521,0.0035089566,0.50479286,-2.1917968e-06
0.94777385,1.0128498,-0.002374621,0.0052696717,0.52042364,-0.0023768187,0.0034814121,0.50476152,-2.1977007e-06
0.95367808,1.0129615,-0.0023541676,0.0052356713,0.5203821,-0.0023563629,0.0034479239,0.50472176,-2.1953125e-06
0.96039316,1.014354,-0.0023311582,0.0051945972,0.52032294,-0.0023333365,0.0034104776,0.50467483,-2.1783412e-06
0.96521331,1.0131164,-0.0023147708,0.0051707413,0.52030255,-0.0023169621,0.0033838402,0.50464517,-2.1913687e-06
0.97003346,1.0125061,-0.0022985178,0.0051457126,0.52027627,-0.0023007152,0.0033575398,0.50461468,-2.1973287e-06
0.9758862,1.0126002,-0.0022789618,0.0051137589,0.52023652,-0.0022811569,0.0033260512,0.50457655,-2.1951607e-06
0.98251264,1.0138488,-0.0022570543,0.0050754149,0.52018078,-0.0022592341,0.0032909822,0.50453184,-2.1798402e-06
0.98854319,1.0151958,-0.0022373202,0.0050404935,0.52012834,-0.0022394838,0.0032595471,0.50449114,-2.1635292e-06
0.9934276,1.0133621,-0.002221442,0.0050194066,0.52011461,-0.0022236253,0.0032342429,0.50446334,-2.1832774e-06
0.99796567,1.0121679,-0.0022068052,0.0049988701,0.52009709,-0.002209001,0.0032110141,0.50443683,-2.1958866e-06
1.0032564,1.0119511,-0.0021898859,0.0049724662,0.52006543,-0.0021920832,0.0031843001,0.50440418,-2.1973453e-06
1.0096695,1.0125297,-0.0021695755,0.0049389122,0.52001918,-0.0021717652,0.0031523941,0.50436351,-2.1896399e-06
1.0161961,1.0144985,-0.0021491297,0.0049019909,0.51995903,-0.002151296,0.00312047,0.50432016,-2.1662564e-06
1.0215944,1.0140016,-0.0021323517,0.0048768008,0.51993026,-0.0021345226,0.0030942963,0.50428815,-2.1708677e-06
1.0261252,1.0120749,-0.0021183609,0.0048594484,0.51992102,-0.0021205526,0.0030724833,0.504264,-2.1917537e-06
1.0309129,1.0114739,-0.0021036996,0.0048379729,0.51989745,-0.0021058972,0.0030497477,0.50423625,-2.1976581e-06
1.0368171,1.0115914,-0.0020857776,0.0048097955,0.51986028,-0.0020879728,0.003022082,0.50420085,-2.1952706e-06
1.0435322,1.0129909,-0.002065606,0.0047751996,0.51980601,-0.0020677843,0.0029911132,0.50415879,-2.1783004e-06
1.0483523,1.0117586,-0.0020512289,0.0047558991,0.51978908,-0.0020534202,0.0029690308,0.50413258,-2.1913282e-06
1.0531725,1.011154,-0.0020369645,0.0047353473,0.51976622,-0.0020391618,0.0029472069,0.50410549,-2.1972887e-06
1.0590252,1.0112551,-0.0020197944,0.004708725,0.51973057,-0.0020219895,0.0029210491,0.50407144,-2.1951214e-06
1.0656517,1.0125121,-0.002000551,0.0046762801,0.5196794,-0.0020027308,0.0028918785,0.50403129,-2.1798019e-06
1.0716822,1.0138669,-0.0019832079,0.0046466023,0.51963107,-0.0019853714,0.0028656864,0.50399468,-2.163492e-06
1.0765667,1.0120398,-0.0019692432,0.004629676,0.51962063,-0.0019714264,0.0028445426,0.50397015,-2.1832401e-06
1.0811047,1.0108519,-0.0019563661,0.0046129371,0.51960613,-0.001958562,0.002825111,0.50394666,-2.1958496e-06
1.0863955,1.0106426,-0.001941477,0.0045908791,0.51957796,-0.0019436743,0.0028027425,0.50391749,-2.1973089e-06
1.0928085,1.0112305,-0.001923597,0.0045624769,0.5195359,-0.0019257866,0.0027759877,0.50388099,-2.1896042e-06
1.0993352,1.0132089,-0.0019055912,0.0045306708,0.51947996,-0.0019077574,0.0027491783,0.50384184,-2.1662218e-06
1.1047335,1.0127202,-0.0018908062,0.004509616,0.51945464,-0.0018929771,0.0027271394,0.50381326,-2.1708336e-06
1.1092643,1.0108004,-0.0018784712,0.004495669,0.51944826,-0.0018806629,0.0027087316,0.50379197,-2.1917196e-06
1.114052,1.0102068,-0.0018655428,0.0044777283,0.51942771,-0.0018677405,0.0026895305,0.50376722,-2.1976244e-06
1.1199562,1.0103336,-0.001849735,0.0044538221,0.51939422,-0.0018519302,0.0026661354,0.50373548,-2.1952374e-06
1.1266713,1.0117437,-0.0018319376,0.0044239684,0.5193441,-0.0018341159,0.0026399083,0.50369755,-2.178268e-06
1.1314915,1.0105192,-0.0018192453,0.0044079978,0.51933012,-0.0018214366,0.0026211556,0.50367429,-2.1912961e-06
1.1363117,1.0099224,-0.0018066498,0.0043907158,0.51931019,-0.0018088471,0.0026026011,0.50365012,-2.1972571e-06
1.1421644,1.010033,-0.0017914851,0.0043679846,0.51927807,-0.0017936802,0.0025803339,0.50361959,-2.1950902e-06
1.1487908,1.0113008,-0.0017744852,0.0043398432,0.51923086,-0.0017766649,0.0025554663,0.50358339,-2.1797714e-06
1.1548214,1.0126656,-0.0017591592,0.0043139905,0.51918611,-0.0017613227,0.0025330989,0.50355035,-2.1634623e-06
1.1597058,1.0108466,-0.0017468115,0.0043001004,0.51917855,-0.0017489948,0.002514991,0.50352869,-2.1832105e-06
1.1642439,1.0096662,-0.0017354237,0.0042861339,0.51916671,-0.0017376195,0.0024983315,0.50350785,-2.1958203e-06
1.1695347,1.0094658,-0.0017222551,0.0042672508,0.51914162,-0.0017244523,0.0024791376,0.50348176,-2.19728e-06
1.1759477,1.0100643,-0.0017064382,0.0042426165,0.51910327,-0.0017086278,0.0024561503,0.50344896,-2.1895758e-06
